bank_partner,country_code,currency_supported,payment_rail,average_completion_time_in_seconds,number_of_failures_per_thousand_transactions,active,routing_code,operating_hours,is_weekend,cost_in_us_cents,discounted_cost_in_us_cents,discount_rule,transaction_date
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2515,17,True,XWTMGBCEDBC,08:00-17:00,False,287,287,,2025-03-14 21:44:16
Deutsche Bank,DE,EUR,SEPA,846,15,False,XSXTGB23WX6,00:00-23:59,False,207,207,,2025-01-31 13:55:53
Volkswagen Bank,DE,EUR,ELIXIR,3572,6,True,IDCNGB1D,08:00-16:00,True,348,348,,2025-01-04 05:04:58
Volksbank,DE,EUR,SEPA,3331,12,True,ACLKGBBW,00:00-23:59,False,174,174,,2025-03-20 22:42:56
Bank of Maharashtra,IN,EUR,IMPS,1994,18,False,IN3335257099,00:00-23:59,False,2640,2640,,2025-03-17 04:54:58
Guyana Bank,GY,EUR,DOMESTIC_RAIL,2508,8,True,FDTNGBIZLTU,08:00-17:00,False,1292,1292,,2025-03-25 10:32:42
ING,DE,EUR,SEPA,2749,3,True,RDSRGBAR16M,00:00-23:59,True,151,106,30% weekend discount,2025-04-05 01:46:25
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,1131,15,True,AFZIGBJZRGP,08:00-17:00,True,217,217,,2025-02-23 11:11:35
Guyana Bank,GY,RWF,DOMESTIC_RAIL,405,19,True,WXNAGBWL,08:00-17:00,False,147,147,,2025-04-16 08:33:53
South Dakota Bank,US,USD,CHIPS,775,12,True,167878013,00:00-23:59,False,1119,1119,,2025-04-16 09:33:02
First Federal Bank of the Heartland,US,USD,ACH,2435,13,True,522635364,00:00-23:59,False,83,83,,2025-02-06 00:23:19
Syndicate Bank,IN,INR,IMPS,3600,0,True,IN8865791721,00:00-23:59,False,1676,1676,,2025-02-11 16:21:12
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,876,7,True,TWENGBX1MJB,08:00-17:00,False,242,242,,2025-01-24 11:40:51
Liberty Bank,US,USD,ACH,1673,2,True,705318775,00:00-23:59,False,126,126,,2025-02-07 12:47:49
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1380,16,True,OLBFGBZ7,08:00-17:00,False,207,207,,2025-01-15 14:14:19
IndusInd Bank,IN,INR,RTGS,554,16,True,IN5774840825,00:00-23:59,False,2649,2649,,2025-03-20 21:30:32
State Bank of India (SBI),IN,INR,IMPS,808,14,True,IN0838309103,00:00-23:59,False,1529,1529,,2025-02-03 06:07:50
Community Financial Bank,US,USD,ACH,1363,1,True,493613064,00:00-23:59,False,82,82,,2025-03-05 06:45:18
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,2503,6,True,WXZWGBIPQ2H,08:00-17:00,False,240,240,,2025-01-03 03:55:11
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,2901,12,True,TLUQGB05OCZ,08:00-17:00,True,159,111,30% weekend discount,2025-03-16 01:15:59
Commerzbank,DE,EUR,ELIXIR,2214,5,True,UTHSGBTX4Q7,08:00-16:00,False,210,210,,2025-03-13 17:04:50
Barclays,UK,GBP,CHAPS,877,16,True,DHDDGBQPGM4,08:00-16:00,False,1276,1276,,2025-03-12 21:17:12
Lloyds Banking Group,UK,GBP,DIRECT,1953,14,True,ASGPGBMDG9X,00:00-23:59,False,137,137,,2025-03-20 15:00:28
State Bank of India (SBI),IN,INR,IMPS,1127,15,False,IN8665448677,00:00-23:59,False,1519,1519,,2025-04-01 11:09:42
Landesbank Baden-W�rttemberg,DE,EUR,SEPA,3269,15,True,EZPFGBSU9XF,00:00-23:59,False,59,59,,2025-04-09 23:42:28
Nationwide,UK,GBP,DIRECT,1371,1,False,CLWGGBLF,00:00-23:59,False,31,-19,50 cent discount,2025-01-16 13:18:42
Syndicate Bank,IN,INR,UPI,1518,12,True,IN7894752879,00:00-23:59,True,174,174,,2025-02-08 10:39:37
HSBC,UK,EUR,CHAPS,1447,14,True,KDPEGB7P,08:00-16:00,False,1242,1242,,2025-04-21 19:36:29
UCO Bank,IN,INR,IMPS,2816,18,False,IN9827399317,00:00-23:59,False,1511,1511,,2025-04-21 14:21:29
First Federal Bank of Chicago,US,USD,ACH,3526,14,False,055005598,00:00-23:59,False,144,44,$1 off per 50 txn,2025-01-02 05:26:04
Kotak Mahindra Bank,IN,INR,NEFT,3463,14,True,IN8584709120,08:00-19:00,False,209,209,,2025-01-17 06:14:41
Indian Overseas Bank,IN,INR,UPI,2623,16,True,IN1750189080,00:00-23:59,False,137,137,,2025-02-21 16:16:35
New Bank of India,IN,INR,IMPS,1830,16,True,IN1851942813,00:00-23:59,False,1628,1628,,2025-01-15 14:45:44
National Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,2331,17,False,WOETGBH0,08:00-17:00,False,207,207,,2025-02-05 15:38:33
Commerzbank,DE,EUR,SEPA,1351,8,True,RZAQGBTNTCL,00:00-23:59,False,84,84,,2025-01-01 06:07:47
Canara Bank,IN,INR,NEFT,2427,10,True,IN2950257180,08:00-19:00,False,191,191,,2025-04-21 20:54:38
HDFC Bank,IN,INR,IMPS,3186,14,True,IN7384100165,00:00-23:59,True,1630,1630,,2025-03-09 10:28:25
Andhra Bank,IN,INR,RTGS,3129,16,True,IN9443392358,00:00-23:59,False,2655,2655,,2025-04-01 15:03:51
Siemens Bank GmbH,DE,EUR,SEPA,1134,18,False,PTRPGB5R5KY,00:00-23:59,False,70,70,,2025-02-07 09:24:48
Commerce Bank,US,USD,ACH,1110,4,False,866966626,00:00-23:59,False,182,182,,2025-01-14 04:28:42
First Republic Bank,US,USD,ACH,335,2,True,894519259,00:00-23:59,True,84,84,,2025-03-09 12:35:26
American Express Bank,US,USD,Fedwire,803,12,True,167902902,08:30-17:00,True,2551,2551,,2025-04-19 10:27:51
Landesbank Hessen-Th�ringen,DE,EUR,ELIXIR,2404,1,True,QSARGB8LIVZ,08:00-16:00,False,165,165,,2025-04-21 09:51:16
Siemens Bank GmbH,DE,EUR,SEPA,2091,16,True,IEHLGBA7G2E,00:00-23:59,False,210,210,,2025-03-28 20:29:11
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,528,13,True,LLQVGBLJ,08:00-17:00,False,254,254,,2025-03-20 19:34:02
Central Bank of India,IN,INR,UPI,1334,20,True,IN4306022071,00:00-23:59,False,189,189,,2025-02-18 10:44:09
Bank of India,IN,INR,RTGS,1840,17,True,IN5371078990,00:00-23:59,False,2681,2631,50 cent discount,2025-02-25 23:31:59
Fidor Bank,DE,EUR,SEPA,2982,3,True,RAUOGB45,00:00-23:59,False,123,123,,2025-02-11 21:53:03
Navy Federal Credit Union,US,USD,ACH,1382,12,True,111406170,00:00-23:59,False,78,78,,2025-02-19 18:23:15
Bank of Ireland,UK,USD,CHAPS,1317,17,True,EWKPGB9F,08:00-16:00,True,1228,1228,,2025-02-08 12:05:03
Lloyds Banking Group,UK,GBP,DIRECT,2911,8,True,GRKWGBEJUB7,00:00-23:59,True,208,146,30% weekend discount,2025-04-19 04:28:45
Guyana Bank,GY,RWF,DOMESTIC_RAIL,551,2,True,EETPGBXJ439,08:00-17:00,False,255,255,,2025-02-24 02:32:37
Metro Bank,UK,GBP,DIRECT,2592,14,True,AYOKGB9JJDG,00:00-23:59,False,35,35,,2025-04-18 18:59:59
Midwest Bank,US,USD,CHIPS,2281,20,True,328284740,00:00-23:59,False,1073,973,$1 off per 50 txn,2025-02-24 06:48:27
Lloyds Banking Group,UK,GBP,DIRECT,2484,20,True,TATSGB7B,00:00-23:59,False,201,201,,2025-03-13 21:58:45
IndusInd Bank,IN,INR,RTGS,1115,0,True,IN2715287396,00:00-23:59,False,2562,2562,,2025-01-07 17:53:34
Landesbank Baden-W�rttemberg,DE,EUR,SEPA,3166,4,True,DNFDGBEQ,00:00-23:59,False,41,41,,2025-02-17 22:19:59
First Federal Bank of the Heartland,US,USD,Fedwire,1311,16,True,273013747,08:30-17:00,True,2594,2594,,2025-03-02 17:45:22
Siemens Bank GmbH,DE,EUR,SEPA,1262,16,False,BSQEGBCFR9L,00:00-23:59,False,116,116,,2025-02-04 06:36:40
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2992,18,True,HDEIGBBLWWJ,08:00-17:00,False,160,160,,2025-01-01 18:59:25
Atom Bank PLC,UK,GBP,CHAPS,2330,19,True,GQXAGBJEG9E,08:00-16:00,False,203,203,,2025-02-17 11:02:21
Metro Bank,UK,GBP,DIRECT,1345,11,True,UDZLGBMA,00:00-23:59,False,46,46,,2025-03-12 21:51:36
Provident Bank,US,USD,ACH,1008,16,True,725558201,00:00-23:59,False,75,75,,2025-01-24 06:39:03
Fidor Bank,DE,EUR,ELIXIR,2702,16,True,QHPYGBKV,08:00-16:00,False,175,175,,2025-02-07 21:37:00
BMO Harris Bank,US,USD,Fedwire,3210,3,True,922689980,08:30-17:00,False,2684,2684,,2025-04-02 15:00:12
Atom Bank PLC,UK,GBP,DIRECT,1549,14,True,ZBNLGBC5,00:00-23:59,False,37,37,,2025-03-12 05:00:16
Nationwide,UK,GBP,DIRECT,3025,12,True,UMTYGBJG,00:00-23:59,False,116,116,,2025-01-24 14:42:23
Syndicate Bank,IN,INR,IMPS,2560,11,True,IN9298310577,00:00-23:59,False,1618,1618,,2025-03-13 18:07:55
Commerzbank,DE,EUR,SEPA,913,3,True,GDSWGBELUDZ,00:00-23:59,True,152,152,,2025-03-22 03:05:40
Guyana Bank,GY,RWF,DOMESTIC_RAIL,3025,16,True,PEOVGBWW,08:00-17:00,False,279,279,,2025-03-14 12:09:33
Halifax,UK,GBP,CHAPS,3452,18,True,GLEPGBGF,08:00-16:00,False,339,339,,2025-01-23 02:51:19
Bank of India,IN,INR,NEFT,638,3,True,IN4793587086,08:00-19:00,True,200,140,30% weekend discount,2025-02-09 04:02:35
Nationwide,UK,GBP,CHAPS,2623,3,True,TOOGGBWUI5R,08:00-16:00,False,187,187,,2025-02-27 14:12:31
Indian Bank,IN,INR,IMPS,2863,4,True,IN9696604745,00:00-23:59,False,1668,1668,,2025-04-02 01:47:35
State Bank of India (SBI),IN,INR,UPI,968,13,True,IN1419945592,00:00-23:59,False,27,27,,2025-03-25 10:20:50
HSBC,UK,GBP,DIRECT,2920,17,True,UNATGBFXQ22,00:00-23:59,True,80,80,,2025-04-20 06:46:27
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,2051,13,True,LXAMGB2RREX,08:00-17:00,False,283,283,,2025-01-21 05:59:42
BankUnited,US,USD,Fedwire,2002,3,True,483693146,08:30-17:00,False,2632,2632,,2025-01-23 00:30:05
Syndicate Bank,IN,INR,UPI,2655,12,False,IN3626586288,00:00-23:59,False,98,98,,2025-02-18 07:15:02
Commerzbank,DE,EUR,SEPA,1124,0,True,LQFHGB4F,00:00-23:59,True,1132,792,30% weekend discount,2025-01-05 08:58:35
Guyana Bank,GY,RWF,DOMESTIC_RAIL,1812,3,False,LEADGBTRH5P,08:00-17:00,True,214,150,30% weekend discount,2025-03-23 17:33:42
Punjab and Sind Bank,IN,INR,UPI,812,8,True,IN2516208200,00:00-23:59,True,46,46,,2025-04-05 10:34:03
UCO Bank,IN,INR,UPI,2560,6,True,IN4881085909,00:00-23:59,True,136,136,,2025-01-05 00:37:02
Siemens Bank GmbH,DE,EUR,SEPA,2937,0,True,VFMWGBT5,00:00-23:59,False,191,191,,2025-02-10 22:39:34
Commerzbank,DE,EUR,SEPA,1717,7,True,OKROGBWZ,00:00-23:59,False,186,186,,2025-04-02 16:30:46
Central Bank of India,IN,INR,UPI,1038,19,False,IN3465310174,00:00-23:59,False,157,157,,2025-01-07 08:17:31
US Bank,US,USD,CHIPS,2527,14,True,610497629,00:00-23:59,False,1116,1116,,2025-04-18 17:32:42
Guyana Bank,GY,RWF,DOMESTIC_RAIL,1383,9,True,DLXFGBIT5AB,08:00-17:00,True,165,165,,2025-02-09 11:05:48
DZ Bank,DE,EUR,SEPA,3104,2,True,FVOCGB0FMVA,00:00-23:59,False,30,30,,2025-01-02 20:59:42
Fifth Third Bank,US,USD,Fedwire,657,14,True,655581207,08:30-17:00,False,2613,2613,,2025-01-23 18:53:59
Volkswagen Bank,DE,EUR,SEPA,863,6,True,QUNHGBQEIVL,00:00-23:59,False,23,23,,2025-01-07 17:16:25
Hamburg Commercial Bank,DE,EUR,SEPA,1228,4,True,CKILGBRK,00:00-23:59,False,22,22,,2025-04-02 11:13:16
American Savings Bank,US,USD,Fedwire,354,15,True,254211052,08:30-17:00,False,2597,2597,,2025-02-20 18:51:07
Landesbank Baden-W�rttemberg,DE,EUR,ELIXIR,1950,12,True,KKGGGBVSKCA,08:00-16:00,False,214,214,,2025-02-12 08:33:27
Landesbank Hessen-Th�ringen,DE,EUR,ELIXIR,1953,10,True,ZKGOGBDS,08:00-16:00,False,275,275,,2025-02-12 18:26:22
First National Bank,US,USD,ACH,2867,1,True,719611605,00:00-23:59,False,89,89,,2025-01-08 06:04:35
IDBI Bank,IN,INR,UPI,744,17,False,IN2252020170,00:00-23:59,False,29,29,,2025-04-11 01:56:01
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,2764,16,True,ZMBDGBWS,08:00-17:00,True,298,298,,2025-04-20 21:10:06
Central Bank of India,IN,INR,IMPS,581,9,True,IN2644400996,00:00-23:59,True,1597,1597,,2025-04-06 01:47:44
Kotak Mahindra Bank,IN,INR,NEFT,775,0,False,IN0977257892,08:00-19:00,False,118,118,,2025-01-10 20:03:56
Fidor Bank,DE,EUR,ELIXIR,3177,17,True,CQGGGBB7VKL,08:00-16:00,False,196,196,,2025-02-04 23:42:12
Santander,DE,EUR,ELIXIR,381,16,False,LKORGBUA,08:00-16:00,False,217,217,,2025-03-17 14:57:04
Community Bank,US,USD,CHIPS,1327,6,True,060195893,00:00-23:59,False,1025,1025,,2025-04-16 14:52:57
Landesbank Baden-W�rttemberg,DE,EUR,ELIXIR,1988,0,True,EFBOGBYFAIQ,08:00-16:00,False,180,180,,2025-03-10 08:13:04
Royal Bank of Scotland,UK,EUR,CHAPS,1565,1,False,LEPSGBC9,08:00-16:00,False,1246,1246,,2025-02-19 21:00:42
New York Community Bancorp,US,USD,Fedwire,2994,16,True,394518090,08:30-17:00,False,2660,2610,50 cent discount,2025-01-23 10:16:23
New Bank of India,IN,INR,NEFT,701,12,True,IN3857355789,08:00-19:00,True,246,246,,2025-01-11 17:37:50
Bank OZK,US,USD,CHIPS,2077,11,False,409672285,00:00-23:59,False,1104,1104,,2025-02-03 14:10:38
Central Bank of India,IN,INR,UPI,1544,13,True,IN9066709101,00:00-23:59,False,147,147,,2025-03-03 05:11:34
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2332,0,True,SEASGB0S,08:00-17:00,False,110,110,,2025-03-24 17:56:14
First Republic Bank,US,USD,ACH,1386,4,True,789384121,00:00-23:59,False,107,107,,2025-01-28 12:47:45
State Bank of India (SBI),IN,INR,RTGS,2920,11,True,IN8013454490,00:00-23:59,False,2632,2632,,2025-04-23 01:18:41
Santander UK,UK,GBP,CHAPS,879,6,True,DCINGB9GV1X,08:00-16:00,False,314,314,,2025-01-23 00:16:58
IDBI Bank,IN,INR,IMPS,2507,14,False,IN4561282047,00:00-23:59,False,1601,1601,,2025-02-20 04:26:20
ABC International Bank plc,UK,GBP,CHAPS,2403,20,True,GXCEGBQP,08:00-16:00,False,1352,1352,,2025-02-11 10:08:42
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,2900,16,True,BASVGB97,08:00-17:00,True,138,138,,2025-01-25 16:29:46
Umpqua Bank,US,USD,ACH,1206,18,True,666841013,00:00-23:59,False,204,204,,2025-01-23 01:18:44
Bank of Ireland,UK,GBP,DIRECT,880,10,False,WZTSGB7D,00:00-23:59,False,51,51,,2025-03-31 01:27:01
Hamburg Commercial Bank,DE,EUR,SEPA,3142,14,True,YBBLGBAJ,00:00-23:59,False,172,172,,2025-01-21 08:42:35
American Express,US,USD,Fedwire,1909,7,True,027263956,08:30-17:00,False,2626,2626,,2025-04-16 10:23:23
Indian Overseas Bank,IN,INR,IMPS,915,6,True,IN3738448501,00:00-23:59,False,1672,1672,,2025-03-04 18:07:09
First United Bank,US,USD,CHIPS,2271,18,True,777763687,00:00-23:59,False,1167,1167,,2025-03-13 12:32:29
ING,DE,EUR,SEPA,1969,2,True,OEEZGBDO9ZP,00:00-23:59,True,54,54,,2025-02-02 09:34:51
HSBC,UK,GBP,CHAPS,1335,15,True,IXSZGBYH3QX,08:00-16:00,False,295,295,,2025-01-15 11:16:33
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,434,16,False,SETTGBXH,08:00-17:00,False,117,17,$1 off per 50 txn,2025-03-27 16:03:34
Landesbank Hessen-Th�ringen,DE,EUR,SEPA,1122,9,True,IGIDGBM501G,00:00-23:59,True,29,29,,2025-03-15 11:21:45
Atom Bank PLC,UK,GBP,CHAPS,497,6,False,JDLDGB3YS9A,08:00-16:00,False,1319,1319,,2025-01-20 20:50:23
Union Bank of India,IN,INR,RTGS,936,5,True,IN1783686003,00:00-23:59,True,2620,2620,,2025-03-02 04:44:39
Guyana Bank,GY,EUR,SWIFT,19121,0,True,TAGIGBFUVJD,00:00-23:59,False,2662,2662,,2025-04-04 05:15:04
Punjab National Bank,IN,INR,RTGS,3346,11,True,IN0403468336,00:00-23:59,False,2520,2520,,2025-03-28 09:54:59
Indian Bank,IN,INR,NEFT,1567,3,False,IN0901237312,08:00-19:00,True,137,137,,2025-01-26 17:09:52
Landesbank Baden-W�rttemberg,DE,EUR,SWIFT,26325,5,True,AELOGB6X1KR,00:00-23:59,True,2739,2739,,2025-01-18 06:10:04
NatWest,UK,GBP,DIRECT,3484,20,True,UEOJGB4M4X0,00:00-23:59,True,112,78,30% weekend discount,2025-02-09 11:42:18
American Express Bank,US,USD,Fedwire,1374,9,True,259446391,08:30-17:00,False,2685,2685,,2025-03-28 12:07:55
Kotak Mahindra Bank,IN,INR,RTGS,3455,7,True,IN4993399534,00:00-23:59,True,2513,2513,,2025-04-19 19:00:23
Metro Bank,UK,GBP,SWIFT,64443,12,True,IPBRGBROBMR,00:00-23:59,True,2767,1937,30% weekend discount,2025-01-19 20:40:20
TARGOBANK,DE,EUR,SEPA,3561,19,True,ZYYDGB4L,00:00-23:59,False,188,188,,2025-01-23 22:10:43
National Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,2822,7,True,VCUDGBSC,08:00-17:00,False,178,178,,2025-04-15 20:57:48
Community Financial Bank,US,USD,Fedwire,1114,17,False,443331893,08:30-17:00,False,2598,2598,,2025-01-29 04:37:34
HSBC,UK,USD,CHAPS,2595,15,True,CEBDGB450WR,08:00-16:00,False,1225,1225,,2025-04-08 17:57:34
Santander UK,UK,GBP,DIRECT,624,20,True,ZEKYGBJSQ70,00:00-23:59,False,1136,1136,,2025-04-07 00:13:50
Halifax,UK,EUR,DIRECT,2026,15,True,HHUIGB9QR8Q,00:00-23:59,False,1125,1125,,2025-03-06 23:43:24
Axis Bank,IN,INR,NEFT,2356,1,True,IN8168662326,08:00-19:00,True,93,93,,2025-01-18 00:05:55
Sparkasse,DE,EUR,SEPA,583,13,True,YBWWGB6LQ2I,00:00-23:59,False,124,124,,2025-01-01 08:40:46
BankUnited,US,USD,Fedwire,2967,7,True,106822113,08:30-17:00,False,2620,2620,,2025-03-27 00:06:31
HDFC Bank,IN,INR,UPI,937,18,True,IN9337375526,00:00-23:59,False,110,110,,2025-03-27 16:54:55
New Bank of India,IN,INR,UPI,1802,15,False,IN6395885701,00:00-23:59,True,180,180,,2025-01-18 21:20:55
ABC International Bank plc,UK,GBP,DIRECT,1318,8,True,ZAARGBGT,00:00-23:59,False,59,59,,2025-01-01 22:54:58
Nationwide,UK,GBP,CHAPS,652,13,False,HOJPGBWJVLI,08:00-16:00,True,1262,1262,,2025-02-15 08:45:54
Indian Bank,IN,INR,IMPS,2779,1,True,IN5715634338,00:00-23:59,False,1623,1623,,2025-03-07 06:20:18
HDFC Bank,IN,INR,UPI,3070,10,False,IN5609147558,00:00-23:59,False,174,174,,2025-04-04 18:36:20
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,2967,14,True,EBTFGBYX,08:00-17:00,False,217,217,,2025-04-21 23:11:38
Chase,US,USD,CHIPS,781,5,True,185722981,00:00-23:59,False,1172,1172,,2025-04-17 19:39:43
Commerzbank,DE,EUR,ELIXIR,1992,5,True,CAEZGBRI,08:00-16:00,False,184,184,,2025-04-22 16:56:21
Lloyds Banking Group,UK,GBP,DIRECT,3439,17,True,BGTOGBIY,00:00-23:59,False,138,138,,2025-01-13 02:00:37
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,2570,3,True,MSYIGBJA,08:00-17:00,False,290,290,,2025-01-29 15:46:22
ICICI Bank,IN,INR,NEFT,2257,1,True,IN5270667016,08:00-19:00,True,121,121,,2025-04-06 22:45:36
Canara Bank,IN,INR,RTGS,3259,17,True,IN8669444272,00:00-23:59,True,2672,2672,,2025-02-01 02:37:09
Bank of Baroda,IN,INR,UPI,482,19,True,IN4835230159,00:00-23:59,False,118,118,,2025-02-04 13:14:29
Punjab National Bank,IN,INR,IMPS,816,19,True,IN0922472011,00:00-23:59,False,1552,1552,,2025-02-11 03:00:55
Barclays,UK,GBP,DIRECT,1351,3,False,DIHEGB93I8B,00:00-23:59,False,178,178,,2025-03-20 16:44:15
TARGOBANK,DE,EUR,SEPA,2122,8,True,EXGWGBBX19J,00:00-23:59,False,210,210,,2025-04-16 17:53:15
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2189,12,True,AXAWGB0G9DV,08:00-17:00,False,1341,1341,,2025-03-31 20:29:22
First United Bank,US,USD,ACH,1235,17,True,290177722,00:00-23:59,False,160,160,,2025-04-07 01:44:20
Nationwide,UK,GBP,DIRECT,765,4,True,WAPKGBRE5KO,00:00-23:59,False,148,148,,2025-02-13 15:58:48
DZ Bank,DE,EUR,SEPA,1727,16,False,GWGEGBZ78BO,00:00-23:59,False,39,39,,2025-03-11 13:38:55
Nationwide,UK,USD,DIRECT,3209,7,True,VDSDGBPN,00:00-23:59,False,1026,1026,,2025-02-11 18:34:24
NatWest,UK,GBP,CHAPS,571,9,True,FRLBGBAATNV,08:00-16:00,False,1373,1373,,2025-03-07 10:47:02
ABC International Bank plc,UK,USD,DIRECT,2385,1,True,IBZRGB61,00:00-23:59,False,1100,1100,,2025-01-08 09:06:29
Postbank,DE,EUR,ELIXIR,1027,4,True,VGMUGB17,08:00-16:00,False,266,266,,2025-03-31 14:52:40
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2983,12,True,CARAGBYN2XU,08:00-17:00,False,184,184,,2025-01-31 13:57:21
Commerzbank,DE,EUR,SEPA,2943,3,True,NENFGBDS,00:00-23:59,False,42,42,,2025-02-12 11:17:32
First Direct,UK,GBP,DIRECT,2511,3,True,NVLOGBUTM8Q,00:00-23:59,False,154,154,,2025-01-09 06:50:42
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1029,9,False,IPTZGB86,08:00-17:00,False,259,259,,2025-04-15 21:00:34
UniCredit Bank AG,DE,EUR,ELIXIR,996,2,True,SAFYGB6E,08:00-16:00,True,160,160,,2025-01-12 22:39:19
Union Bank of India,IN,INR,RTGS,3501,13,True,IN5408576566,00:00-23:59,False,2530,2530,,2025-02-13 17:23:51
Atom Bank PLC,UK,GBP,DIRECT,1719,3,True,BYHPGBOFPHQ,00:00-23:59,False,84,84,,2025-04-18 15:57:56
Punjab National Bank,IN,INR,NEFT,2468,0,True,IN6346894582,08:00-19:00,False,155,155,,2025-04-10 15:39:45
Royal Bank of Scotland,UK,GBP,CHAPS,1880,9,False,HVVDGBYKLFI,08:00-16:00,False,232,232,,2025-01-28 02:39:45
Commerce Bank,US,USD,CHIPS,1922,1,True,954934210,00:00-23:59,False,1116,1116,,2025-01-06 03:43:42
Siemens Bank GmbH,DE,EUR,SEPA,967,5,False,GPOQGBJH,00:00-23:59,False,164,164,,2025-01-29 23:01:08
First Federal Bank of Chicago,US,USD,ACH,1155,19,True,515967044,00:00-23:59,False,108,108,,2025-02-28 12:49:57
Hamburg Commercial Bank,DE,EUR,ELIXIR,896,15,True,SKVOGBAPHJM,08:00-16:00,False,228,228,,2025-01-22 23:58:17
Lloyds Banking Group,UK,GBP,DIRECT,3001,0,True,WQUJGBI7,00:00-23:59,False,160,160,,2025-02-25 08:24:42
Atom Bank PLC,UK,GBP,DIRECT,3550,9,True,ZRMUGBJ5,00:00-23:59,False,1150,1050,$1 off per 50 txn,2025-01-01 22:27:31
Volksbank,DE,EUR,SEPA,1845,5,True,DFIGGB17,00:00-23:59,True,84,84,,2025-02-23 20:23:53
Deutsche Bank,DE,EUR,ELIXIR,402,15,True,JJYTGB9F,08:00-16:00,True,318,318,,2025-03-02 22:05:44
Hamburg Commercial Bank,DE,EUR,SEPA,2013,18,False,TIIAGBF0IJ2,00:00-23:59,False,196,196,,2025-01-06 23:53:52
UniCredit Bank AG,DE,EUR,ELIXIR,715,1,True,ZVSOGBTT,08:00-16:00,False,344,344,,2025-01-20 21:24:49
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,2586,2,True,HJHXGBS23YY,08:00-17:00,True,144,101,30% weekend discount,2025-03-16 04:39:20
N26,DE,EUR,ELIXIR,1743,13,True,TSNGGBSL,08:00-16:00,False,194,194,,2025-01-20 03:25:05
Volksbank,DE,EUR,ELIXIR,1465,18,True,LHUHGBV43A0,08:00-16:00,True,301,301,,2025-04-12 22:58:32
Royal Bank of Scotland,UK,GBP,DIRECT,589,0,True,NBCCGBBBI2W,00:00-23:59,True,26,18,30% weekend discount,2025-03-16 21:45:55
Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,2449,0,False,QJNIGBVR,08:00-17:00,False,260,210,50 cent discount,2025-03-03 05:07:40
Barclays,UK,EUR,DIRECT,597,3,True,HYMNGB5V,00:00-23:59,False,1084,1084,,2025-01-13 00:04:35
Indian Bank,IN,INR,NEFT,2883,17,True,IN2345353636,08:00-19:00,False,62,62,,2025-02-11 04:20:55
Canara Bank,IN,INR,UPI,1155,8,True,IN9265073174,00:00-23:59,True,42,29,30% weekend discount,2025-02-08 17:14:06
First National Bank of Omaha,US,USD,Fedwire,2210,6,True,174028787,08:30-17:00,False,2586,2586,,2025-03-17 11:39:40
Fidor Bank,DE,EUR,ELIXIR,2592,2,True,UUOHGBLV671,08:00-16:00,False,262,162,$1 off per 50 txn,2025-04-24 06:08:28
Vanguard Bank,US,USD,CHIPS,763,17,True,845828082,00:00-23:59,True,1170,1170,,2025-03-16 11:16:42
Landesbank Baden-W�rttemberg,DE,EUR,SEPA,1356,5,True,GVWBGB6JBLR,00:00-23:59,False,140,140,,2025-04-14 09:21:59
Sparkasse,DE,EUR,ELIXIR,527,20,True,IPSOGBXJFYX,08:00-16:00,True,248,248,,2025-02-08 14:36:46
Capital One,US,USD,Fedwire,3060,1,True,001193154,08:30-17:00,False,2585,2585,,2025-04-10 08:08:30
HSBC,UK,GBP,CHAPS,375,6,True,SIAVGB9S,08:00-16:00,False,1377,1377,,2025-01-14 22:27:10
Deutsche Kreditbank Aktiengesellschaft,DE,EUR,SEPA,2003,10,True,HTYSGB1K1DX,00:00-23:59,True,122,122,,2025-03-08 12:20:25
Citizens Bank,US,USD,CHIPS,599,6,True,704342293,00:00-23:59,False,1131,1131,,2025-03-25 04:42:39
Wells Fargo,US,USD,CHIPS,2482,19,True,091252775,00:00-23:59,True,1076,753,30% weekend discount,2025-03-15 14:48:47
Metro Bank,UK,GBP,CHAPS,543,4,True,MHCEGBWQ,08:00-16:00,True,247,247,,2025-03-15 21:09:55
DZ Bank,DE,EUR,SEPA,1665,18,True,TDBGGBHI,00:00-23:59,False,82,82,,2025-02-12 09:21:34
